feature,nonzero_rate,unique,mean,pos_mean,neg_mean,abs_smd,corr_claim_cnt,corr_sum_dmnd
ma3_nunique_acci_dvsn,1.0,3,1.3596836026592904,1.870985603543743,1.3105685867772991,0.877839976671504,0.4397660478527793,0.1374484933098502
ma3_max_nonpay_ratio,0.24054932789828698,4489,0.17791780010841726,0.06688882978824126,0.1885831009114723,0.40998457417558676,0.046459335987952016,-0.07317705891602745
ma3_max_dmnd_amt,0.9997088368030281,6027,2272775.1881399523,3491005.5647840532,2155753.537152279,0.13544315089195266,0.16044959364620492,0.8975221456485367
ma3_resi_unknown,0.06391032173533265,2,0.06391032173533265,0.03709856035437431,0.06648582522206266,0.13288646189148434,-0.0409963628445069,-0.013198825495350508
ma3_frac_heed_claim_rows,0.05245790265443781,151,0.022286867203332842,0.03617143709463236,0.020953133187924782,0.12435315277312775,0.0342405985005968,0.029435093571388436
ma3_std_dmnd_amt,0.973212985878585,12595,792759.45375499,990090.3005119152,773804.1051435858,0.06588583171672331,0.08604877630162966,0.7611106958815773
ma3_mean_paym_dmnd_ratio,0.9987868200126171,3097,0.9973120581939775,0.9990454631634084,0.9971455495308859,0.06455346798735213,0.006425926415713088,-0.020199767580180977
ma3_cust_minus_jpbase_incm,0.6613286747221818,4421,-2902.4907555684963,-2834.686600221484,-2909.003935960853,0.029750593059024222,-0.030533163419227995,-0.025247990383214496
ma3_absdiff_hh_incm_est,0.9126510409084292,5801,1795.9531227252876,1753.4318936877075,1800.0376575714058,0.02151498375417393,-0.010487190507957392,-0.022738963675070802
ma3_doc_hosp_train_cross,0.0,1,0.0,0.0,0.0,0.0,,
ma3_doc_siu_train_expo,0.0,1,0.0,0.0,0.0,0.0,,
ma3_hosp_siu_train_expo,0.0,1,0.0,0.0,0.0,0.0,,
